# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
жөнге жығылды	kazdict
жөнге жүрмейді	kazdict
жөнге келді	kazdict
жөнге көшті	kazdict
жөнге салды	kazdict
жөнге салу	kazdict
жөнге үндеді	kazdict
жөнде i	kazdict
жөнде ii	kazdict
жөнделіс тапты	kazdict
жөндем ине	kazdict
жөндем сөз	kazdict
жөндем өгіз	kazdict
жөндем: жөндем ине	kazdict
жөндемге келді	kazdict
жөндеу i	kazdict
жөндеу ii	kazdict
жөндеу жұмыстары бойынша бірыңғай шығындар	kazdict
жөндеу жұмыстарының құны	kazdict
жөндеу зауыты	kazdict
жөндеу орны	kazdict
жөндеу шеберханасы	kazdict
жөндеу қоры	kazdict
жөндеу құнын бағалау	kazdict
жөндеуге жарамдылық	kazdict
жөндеуге қойылған кеме бойынша сыйлықақыны қайтару	kazdict
жөндеуді жұмыстарын кейінге қалдыру	kazdict
жөндеуді ұйымдастыру жобасы	kazdict
жөне тұру	kazdict
жөнек нар	kazdict
жөнекей қора	kazdict
жөнел /30	kazdict
жөнелтуші кеден органы	kazdict
жөнеу қағаз	kazdict
жөннен біз	kazdict
жөнсіз себеп	kazdict
жөні бөлек	kazdict
жөні жоқ	kazdict
жөні келді	kazdict
жөні кетті	kazdict
жөні кетіңкіреді	kazdict
жөні түзу	kazdict
жөнін айтты	kazdict
жөнін білді	kazdict
жөнін тапты	kazdict
жөніне көшті	kazdict
жөніне тартты	kazdict
жөніңе кет	kazdict
жөпшеңді боран	kazdict
жөргегінде [жөргегі	kazdict
жөргегінде ұрғыр	kazdict
жөргекте соққан	kazdict
жөргеп тігу	kazdict
жөргеп: жөргеп тігу	kazdict
жөш ұрды	kazdict
жөңкіп жүрді	kazdict
за фаран	kazdict
заhар төкті	kazdict
заhар шашты	kazdict
забар даст	kazdict
забиял бәкі	kazdict
забыт алу	kazdict
забыт: забыт алу	kazdict
заем бойынша сыйақы ставкасы	kazdict
заемдарды сақтандыру	kazdict
зайинат зинәт	kazdict
зайсан жұмырбас кесірткесі	kazdict
зайырлы қоғам	kazdict
зайығы болды	kazdict
зайғы болды	kazdict
зайғы етті	kazdict
зайғы кетті	kazdict
зайғы қылды	kazdict
закон жобасы	kazdict
закон тілі	kazdict
закон құрамасы	kazdict
залал болды	kazdict
залал етті	kazdict
залал келтірді	kazdict
залал көрді	kazdict
залал тапты	kazdict
залал тартты	kazdict
залал тигізді	kazdict
залал қылды	kazdict
залалы жоқ	kazdict
залалы тиді	kazdict
залалын тигізді	kazdict
залдық храм	kazdict
заман [күн	kazdict
заман азды	kazdict
заман ауқымы	kazdict
заман да заман	kazdict
заман зырқырады	kazdict
заман кешті	kazdict
заман мұңы	kazdict
заман туды	kazdict
заман хат	kazdict
заманақыр орнады	kazdict
заманның сазы	kazdict
заманы бір замандас	kazdict
заманы өтті	kazdict
заманын тар қылды	kazdict
заманын тар қылды заманын тарылтты	kazdict
заманың түлкі болса	kazdict
замар тас	kazdict
запы болды	kazdict
запы болу	kazdict
запы етті	kazdict
запы көрді	kazdict
запы шекті	kazdict
запы қылды	kazdict
запы: запы көрді	kazdict
запыран i	kazdict
запыран ii	kazdict
запыран зәрін құйды	kazdict
запыран төкті	kazdict
запырандай сарғайды	kazdict
запыс болды	kazdict
запыс көрді	kazdict
запыс шекті	kazdict
запыс қылды	kazdict
запыста болды	kazdict
запысы шықты	kazdict
запқының тасындай зырқырау	kazdict
зар i	kazdict
зар ii	kazdict
зар айтты	kazdict
зар атты	kazdict
зар болды	kazdict
зар етті	kazdict
зар етіне түсті	kazdict
зар еңіреді	kazdict
зар еңіреді [жылады	kazdict
зар еңіренді	kazdict
зар еңіретті	kazdict
зар жақ	kazdict
зар жылады	kazdict
зар жылатты	kazdict
зар жұтты	kazdict
зар заман	kazdict
зар иледі	kazdict
зар илетті	kazdict
зар кешті	kazdict
зар күй	kazdict
зар күйі	kazdict
зар салды	kazdict
зар тартты	kazdict
зар таттырды	kazdict
зар тұтты	kazdict
зар төкті	kazdict
зар шекті	kazdict
зар қақсады	kazdict
зар қақсатты	kazdict
зар қақты	kazdict
зар қақтырды	kazdict
зар қылды	kazdict
зар құшты	kazdict
зар ұрды	kazdict
зар-зар етті	kazdict
зар-зар жылады	kazdict
зар-зар қақты	kazdict
зар. зар берді	kazdict
зар: зар күйі	kazdict
заразап болды	kazdict
заразап қылды	kazdict
заразат болу	kazdict
зарар болды	kazdict
зарар тигізді	kazdict
зарар қылды	kazdict
зарарсыз қылды	kazdict
зарарын білді	kazdict
зарарын көрді	kazdict
зардаб тиді	kazdict
зардабы өтті	kazdict
зардабын бастан кешті	kazdict
зардабын тартты	kazdict
зардап шекті	kazdict
зардапты коктар	kazdict
зардапты саңырауқұлақтар	kazdict
заржақ бота	kazdict
заржақ қой	kazdict
зарзаман ақындары	kazdict
зарлап қалды	kazdict
зарлау болды	kazdict
зарлау болу	kazdict
зарлаған дауыс	kazdict
зарлы қылды	kazdict
зарлығын айтты	kazdict
зарлық етті	kazdict
зарлық тартқызды	kazdict
зармен қауышты	kazdict
зарп ұрды	kazdict
зары өтті	kazdict
зарын айтты	kazdict
зарын көрді	kazdict
зарын тартты	kazdict
зарын тарттырды	kazdict
зарын төкті	kazdict
зарын шақты	kazdict
зарын қылды	kazdict
зарып: зарып ұру	kazdict
заряд картузы	kazdict
зарядтау стансасы	kazdict
зарядтау қондырғысы	kazdict
зарядты бөлшек үдеткіштері	kazdict
зарядтық түйіндестік	kazdict
зарядтық: зарядтық жұптылық	kazdict
зарядтың сақталу заңы	kazdict
зат i	kazdict
зат ii	kazdict
зат алмасу	kazdict
зат есім	kazdict
зат есімнің жалғаулы түрі	kazdict
зат есімнің жалғаусыз түрі	kazdict
зат етпейді	kazdict
зат етпеу	kazdict
зат және өріс	kazdict
затбелгі қағаздары	kazdict
затдеректік мағына	kazdict
затсыз i	kazdict
затсыз ii	kazdict
затсымақ сын	kazdict
заттабалық баға	kazdict
заттай дәлелдеме	kazdict
заттай мүлік	kazdict
заттардың теңдестігі	kazdict
заттек: заттектердің судағы шоғырлануы	kazdict
затты қағып алу	kazdict
заттық дәлелдемелер	kazdict
заттық жабдықтау	kazdict
заттық іс-әрекет	kazdict
заттық құқық	kazdict
заттың агрегаттық күйі	kazdict
заттың орналасқан орнының заңы	kazdict
заты басқа	kazdict
заты жоқ	kazdict
заты жоқ жасықтықтың нысанасы	kazdict
затқа құқық	kazdict
зау арлан	kazdict
зау биік	kazdict
зау тас	kazdict
зауа кету	kazdict
зауа: зауа кетті	kazdict
зауал i	kazdict
зауал ii	kazdict
зауал iii	kazdict
зауал ауа	kazdict
зауал жетті	kazdict
зауал кездесті	kazdict
зауал келтірді	kazdict
зауал төнгізді	kazdict
зауал шақ	kazdict
зауалды күн	kazdict
зауалды шақ	kazdict
зауалы ауу	kazdict
зауалын берді	kazdict
зауалын тартты	kazdict
зауалынды құдай берсін! зауалың құдайдан болғыр	kazdict
зауалың болғыр	kazdict
зауалыңды берсін	kazdict
зауалыңды құдай берсін	kazdict
зауалға тап болды	kazdict
зауалға ұшырады	kazdict
зауза жұлдызы	kazdict
зауза құрты	kazdict
зауфан жасау	kazdict
зауым: зауым мезгіл	kazdict
зауық мүше	kazdict
зауқ шуақ	kazdict
зауқы ауды	kazdict
зауқы болмады	kazdict
зауқы жоқ	kazdict
зауқы соқпады	kazdict
зауқы соқты	kazdict
зауқы түсті	kazdict
зауқы шаппады	kazdict
зауқы шаппады [болмады	kazdict
зауқы шапты	kazdict
зауқын басты	kazdict
захмет соқты	kazdict
захмет шекті	kazdict
захымлық бол	kazdict
зая болды	kazdict
зая етті	kazdict
зая жіберді	kazdict
зая кетті	kazdict
зая қылды	kazdict
зағар тұтты	kazdict
зағар шың	kazdict
зағип. зағиптер қоғамы	kazdict
зағиптар мектебі	kazdict
зағиптар үйі	kazdict
зақар ләмпік	kazdict
зақылет. зақылет салу	kazdict
зақым болды	kazdict
зақым етті	kazdict
зақым келтірді	kazdict
зақым келтіру	kazdict
зақым тартты	kazdict
зақым істеді	kazdict
зақым қылды	kazdict
зақым қылды [етті	kazdict
зақымдалған аймақ	kazdict
зақымдалған аймақтардан өту	kazdict
зақымдалған файл	kazdict
зақымдану ошағы	kazdict
зақымдану тығыздығы	kazdict
зақымдану учаскесі	kazdict
зақыметке шалдығу	kazdict
зақыметке ұшырау	kazdict
зақыметті болды	kazdict
зақымға ұшырады	kazdict
заң актісі	kazdict
заң бойынша	kazdict
заң жарғы	kazdict
заң жобасы	kazdict
заң жүзінде	kazdict
заң кеңесі	kazdict
заң органдары	kazdict
заң орны	kazdict
заң педагогикасы	kazdict
заң психологиясы	kazdict
